ID,POI_ID,POI_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,LC_LO,LC_LA,BASE_DE
KCLANPO23N000024413,19868724,따라비승마장,60500,N,5013032024131490016,제주특별자치도,서귀포시,표선면,3149-16,5013032024,5013032000,126.7357907,33.38305876,20231220
KCLANPO23N000023298,19053392,지니안,60400,N,5111012600105380003,강원특별자치도,춘천시,칠전동,538-3,5111012600,5111067500,127.71374,37.84406989,20231220
KCLANPO23N000021958,18330184,화인항공,60400,N,1120011500103000001,서울특별시,성동구,성수동2가,300-1,1120011500,1120069000,127.0569604,37.54466471,20231220
KCLANPO23N000022136,18349187,여행마니,60400,N,4817012000105850002,경상남도,진주시,하대동,585-2,4817012000,4817067800,128.1157175,35.19260733,20231220
KCLANPO23N000022199,18353142,아이리치,60400,N,4137010300107530012,경기도,오산시,원동,753-12,4137010300,4137057000,127.0725519,37.14864584,20231220
KCLANPO23N000024908,19869352,화학루,60500,N,4782025024101030001,경상북도,청도군,화양읍,103-1,4782025024,4782025000,128.7084212,35.64466281,20231220
KCLANPO23N000024421,19868738,금헌힐링캠프,60500,N,4886037023109120007,경상남도,산청군,단성면,912-7,4886037023,4886037000,127.924291,35.32488242,20231220
KCLANPO23N000022553,18490126,신세계여행사,60400,N,4122011400100970039,경기도,평택시,통복동,97-39,4122011400,4122061000,127.0841828,36.99634876,20231220
KCLANPO23N000021888,18327992,신화항공투어,60400,N,4477025022105320001,충청남도,서천군,장항읍,532-1,4477025022,4477025000,126.6982577,36.01160622,20231220
KCLANPO23N000024439,19868767,석송목장,60500,N,4415040029102170000,충청남도,공주시,신풍면,217,4415040029,4415040000,126.9554389,36.49305831,20231220
KCLANPO23N000024659,19869063,은상대,60500,N,4571035029200010001,전라북도,완주군,구이면,산1-1,4571035029,4571035000,127.0857754,35.72087329,20231220
KCLANPO23N000024965,19869417,제단집,60500,N,5013025026100180001,제주특별자치도,서귀포시,대정읍,18-1,5013025026,5013025000,126.2786913,33.1688025,20231220
KCLANPO23N000025018,19878745,강변와인밸리,60500,N,4182025033101400000,경기도,가평군,가평읍,140,4182025033,4182025000,127.510703,37.74354797,20231220
KCLANPO23N000024790,19869218,휴랜드,60500,N,4572040022201810000,전라북도,진안군,주천면,산181,4572040022,4572040000,127.3533375,35.94031793,20231220
KCLANPO23N000025230,19903295,서울풍물시장전통문화체험관,60500,N,1123010100101090005,서울특별시,동대문구,신설동,109-5,1123010100,1123053600,127.0251856,37.57330346,20231220
KCLANPO23N000024569,19868941,짚토체험관,60500,N,4427032025104260002,충청남도,당진시,석문면,426-2,4427032025,4427032000,126.5272053,37.01595138,20231220
KCLANPO23N000025257,19903420,킹돔라이더,60500,N,5117010700101020002,강원특별자치도,동해시,동회동,102-2,5117010700,5117053000,129.1069041,37.48875314,20231220
KCLANPO23N000022194,18353137,위드유투어,60400,N,1114010900100010000,서울특별시,중구,장교동,1,1114010900,1114055000,126.9870522,37.56715646,20231220
KCLANPO23N000025129,19879004,다야선착장,60500,N,4617034023105630000,전라남도,나주시,공산면,563,4617034023,4617034000,126.609839,34.97430428,20231220
KCLANPO23N000025089,19878896,화상대강변유원지,60500,N,5172033026112100020,강원특별자치도,홍천군,내촌면,1210-20,5172033026,5172033000,128.0446842,37.80619107,20231220
KCLANPO23N000022933,18864306,창흥국제여행사,60400,N,4111113600108930000,경기도,수원시 장안구,조원동,893,4111113600,4111159800,127.0075037,37.3035485,20231220
KCLANPO23N000022123,18349161,한국웨딩문화허니문예약센터,60400,N,1135010300106840032,서울특별시,노원구,공릉동,684-32,1135010300,1135059500,127.0736221,37.61807484,20231220
KCLANPO23N000038085,21109176,재인폭포출렁다리,60500,N,4180025030202350000,경기도,연천군,연천읍,산235,4180025030,4180025000,127.1431157,38.07695218,20231220
KCLANPO23N000024828,19869262,태자바위,60500,N,4784037032200970000,경상북도,성주군,벽진면,산97,4784037032,4784037000,128.200325,35.93172626,20231220
KCLANPO23N000022197,18353140,주케이삼천리,60400,N,1111011800100750000,서울특별시,종로구,내수동,75,1111011800,1111053000,126.9732727,37.5734318,20231220
KCLANPO23N000027344,20286160,충청감영포정사문루,60600,N,4415010100103220001,충청남도,공주시,반죽동,322-1,4415010100,4415051000,127.1205812,36.45249238,20231220
KCLANPO23N000025073,19878877,격포자연학습장,60500,N,4580036022102590031,전라북도,부안군,변산면,259-31,4580036022,4580036000,126.4702032,35.63050712,20231220
KCLANPO23N000022137,18349188,주트리오스타,60400,N,1114010200100970000,서울특별시,중구,다동,97,1114010200,1114055000,126.9815421,37.56760569,20231220
KCLANPO23N000024901,19869343,계림재,60500,N,4782037055100910000,경상북도,청도군,매전면,91,4782037055,4782037000,128.8306448,35.69764302,20231220
KCLANPO23N000024877,19869319,통도사지산초소,60500,N,4833034022200830107,경상남도,양산시,하북면,산83-107,4833034022,4833034000,129.0644557,35.49792356,20231220
KCLANPO23N000021862,18327956,주식회사맘씨좋은여행,60400,N,1111012000101630000,서울특별시,종로구,신문로1가,163,1111012000,1111053000,126.9749137,37.56983904,20231220
KCLANPO23N000021885,18327989,파란날개투어,60400,N,1156011000100110011,서울특별시,영등포구,여의도동,11-11,1156011000,1156054000,126.9248772,37.5307406,20231220
KCLANPO23N000024534,19868894,철쭉동산,60500,N,4673035027103700005,전라남도,구례군,광의면,370-5,4673035027,4673035000,127.4461625,35.28221668,20231220
KCLANPO23N000021823,18327809,라이언투어,60400,N,4711111600109970008,경상북도,포항시 남구,대잠동,997-8,4711111600,4711159000,129.3408074,36.0193642,20231220
KCLANPO23N000024915,19869359,운석재,60500,N,4782035043105500000,경상북도,청도군,운문면,550,4782035043,4782035000,128.9095515,35.71603694,20231220
KCLANPO23N000023195,18908809,포이,60400,N,2714010300100870011,대구광역시,동구,효목동,87-11,2714010300,2714059000,128.6416707,35.88663897,20231220
KCLANPO23N000023192,18908806,하룡트레블,60400,N,1114011000100560001,서울특별시,중구,수표동,56-1,1114011000,1114055000,126.9894091,37.56707114,20231220
KCLANPO23N000025256,19903418,무내미녹색체험관,60500,N,4471035022102450002,충청남도,금산군,남일면,245-2,4471035022,4471035000,127.5138581,36.07600129,20231220
KCLANPO23N000024598,19868982,해인,60500,N,2729012300108290000,대구광역시,달서구,대곡동,829,2729012300,2729061500,128.529351,35.79378662,20231220
KCLANPO23N000025146,19879025,꿈틀꿈틀치유농장,60500,N,4784025023115620005,경상북도,성주군,성주읍,1562-5,4784025023,4784025000,128.2618339,35.89708154,20231220
KCLANPO23N000021868,18327965,에이치세븐,60400,N,1121510900104650001,서울특별시,광진구,군자동,465-1,1121510900,1121573000,127.0741288,37.55833262,20231220
KCLANPO23N000021875,18327974,톡톡투어,60400,N,4155012800100020000,경기도,안성시,신건지동,2,4155012800,4155053000,127.2542079,37.01373504,20231220
KCLANPO23N000024905,19869349,함평만갯벌체험교육학습관,60500,N,4686025031105230012,전라남도,함평군,함평읍,523-12,4686025031,4686025000,126.4398834,35.08631839,20231220
KCLANPO23N000021873,18327971,투어로그인,60400,N,1144012000103720002,서울특별시,마포구,서교동,372-2,1144012000,1144066000,126.9186329,37.55254943,20231220
KCLANPO23N000023204,18909617,더모아투어,60400,N,4148032028103890003,경기도,파주시,탄현면,389-3,4148032028,4148032000,126.7381191,37.82505553,20231220
KCLANPO23N000024702,19869110,회동마을관리휴양지,60500,N,5177025028101700000,강원특별자치도,정선군,정선읍,170,5177025028,5177025000,128.5851447,37.41125484,20231220
KCLANPO23N000024869,19869311,해맞이동산,60500,N,4777037038100340004,경상북도,영덕군,병곡면,34-4,4777037038,4777037000,129.4147125,36.60026542,20231220
KCLANPO23N000023183,18906066,소프트엔지니어소사이어티,60400,N,1168010500101590000,서울특별시,강남구,삼성동,159,1168010500,1168058000,127.059159,37.51182394,20231220
KCLANPO23N000024463,19868799,합궁골,60500,N,5115035029200060000,강원특별자치도,강릉시,옥계면,산6,5115035029,5115035000,129.0550875,37.65719037,20231220
KCLANPO23N000047859,22599030,춘향스테이션,60500,N,4519012200100370204,전라북도,남원시,어현동,37-204,4519012200,4519054000,127.3869311,35.40398518,20231220
KCLANPO23N000025050,19878792,김천MTB파크,60500,N,4715037022200920000,경상북도,김천시,봉산면,산92,4715037022,4715037000,128.0571741,36.16942199,20231220
KCLANPO23N000022951,18865516,마임투어,60400,N,4782025321102810008,경상북도,청도군,청도읍,281-8,4782025321,4782025300,128.7394421,35.64601168,20231220
KCLANPO23N000025177,19879128,강림재,60500,N,4782036037106220000,경상북도,청도군,금천면,622,4782036037,4782036000,128.9195248,35.70068378,20231220
KCLANPO23N000024646,19869047,함벽소,60500,N,4573032028202480003,전라북도,무주군,설천면,산248-3,4573032028,4573032000,127.765075,35.95890129,20231220
KCLANPO23N000025226,19903279,체험세상,60500,N,1121510900100010004,서울특별시,광진구,군자동,1-4,1121510900,1121573000,127.078068,37.55519834,20231220
KCLANPO23N000021896,18329381,주식회사조이투어랩,60400,N,2824510500100720008,인천광역시,계양구,임학동,72-8,2824510500,2824572000,126.7342405,37.54325126,20231220
